company_name,year,cluster_label,cluster,financial_health_score,net_profit_margin_percentage,gross_profit_margin_percentage,ebitda_margin_percentage,current_ratio,debt_equity_ratio,roe,roa,roi,asset_turnover_ratio,cfo_percentage,cfi_percentage,cff_percentage,revenue,net_income,market_capitalization
GOOG,2018,Healthy,0,62.67841648281035,22.464716,56.476074,26.720704,3.919,0.0226,17.3036,13.2032,16.9214,0.753233,762.897583,-453.307888,-209.589695,136819.0,30736.0,719.63
GOOG,2019,Healthy,0,65.0347758291559,21.218112,55.580543,28.427563,3.3741,0.0226,17.0486,12.4472,16.6717,0.785734,2995.604396,-1620.384615,-1275.21978,161857.0,34343.0,917.82
GOOG,2020,Healthy,0,62.737013101161374,22.061942,53.578375,30.089247,3.0668,0.0626,18.0949,12.5992,17.0288,0.771865,819.891729,-412.602291,-307.289437,182527.0,40269.0,1179.4
GOOG,2021,Healthy,0,60.056586911470845,29.511677,56.939803,35.381176,2.9281,0.0589,30.2156,21.1633,28.5354,0.966902,-1751.423658,678.826677,1172.596981,257637.0,76033.0,1910.26
GOOG,2022,Healthy,0,68.59437587340751,21.203807,55.379443,32.092803,2.378,0.0574,23.4134,16.4188,22.1426,1.044266,6353.819444,-1409.583333,-4844.236111,282836.0,59972.0,1144.35
INTC,2009,Healthy,0,63.68630253866304,12.437726,55.686509,30.640248,2.7871,0.0533,10.4762,8.2286,9.9856,0.799671,1753.532182,-1250.392465,-403.139717,35127.0,4369.0,112.65
INTC,2010,Healthy,0,63.05824806684779,26.279715,65.311877,46.365449,3.3892,0.0428,23.1924,18.1433,22.2572,0.846299,1104.698875,-697.485109,-307.213766,43623.0,11464.0,117.31
INTC,2011,Healthy,0,56.82764217715919,23.967111,62.514121,43.595252,2.151,0.1597,28.1893,18.1977,24.4212,1.014199,-4786.073059,2351.826484,2534.246575,53999.0,12942.0,123.48
INTC,2012,Healthy,0,62.4544607738343,20.631409,62.149191,41.544028,2.4312,0.2626,21.4929,13.0467,17.1047,0.825087,552.810304,-411.592506,-41.217799,53341.0,11005.0,102.61
INTC,2013,Healthy,0,61.06938284433638,18.251499,59.803066,38.557714,2.3647,0.2308,16.5133,10.416,13.4694,0.735103,-743.32737,646.618962,196.708408,52708.0,9620.0,129.02
INTC,2014,Healthy,0,61.17136295412683,20.948631,63.735457,42.770718,1.7319,0.2444,20.9505,12.7356,17.231,0.803672,-659.070368,319.722402,439.347966,55870.0,11704.0,175.46
INTC,2015,Healthy,0,62.02281684166005,20.630476,62.648361,41.031524,2.4492,0.3711,18.6953,11.2558,14.0777,0.660926,149.195889,-64.195497,14.999608,55355.0,11420.0,162.57
INTC,2016,Healthy,0,61.61336469841441,17.370805,61.011669,35.231616,1.749,0.3818,15.577,9.1029,11.8745,0.64896,-223.717686,264.844071,58.873615,59387.0,10316.0,171.88
INTC,2017,Healthy,0,60.74240039097928,15.297717,62.296649,41.71221,1.6934,0.3885,13.9107,7.7899,10.2078,0.6549,-1039.492243,741.043724,398.448519,62761.0,9601.0,216.03
INTC,2018,Healthy,0,54.3845076467084,29.715729,61.73357,45.733119,1.7314,0.3535,28.2352,16.4524,21.1246,0.702014,-7109.178744,2714.7343,4494.444444,70848.0,21053.0,214.19
INTC,2019,Healthy,0,64.88219629136877,29.247551,58.556243,45.662475,1.4002,0.3742,27.1573,15.4171,20.4723,0.67569,2820.851064,-1225.957447,-1494.893617,71965.0,21048.0,260.35
INTC,2020,Healthy,0,64.16115484467791,26.839354,56.008322,46.126087,1.9087,0.4492,25.7891,13.6514,18.1833,0.663035,2146.259725,-1288.090963,-758.168761,77867.0,20899.0,104.16
INTC,2021,Healthy,0,58.878492041411356,25.141729,55.445181,39.542417,2.1323,0.3994,20.828,11.7977,15.4134,0.591984,-2837.764933,2355.39499,582.369942,79024.0,19868.0,209.45
INTC,2022,Moderate,2,62.0829368666324,12.709741,42.607923,24.374346,1.5676,0.4071,7.7619,4.4025,5.687,0.433857,244.309007,-165.854045,21.545037,63054.0,8014.0,109.08
MCD,2009,Healthy,0,60.01225213276143,20.009057,38.65428,35.424516,1.1431,0.7538,32.4286,15.0571,18.5044,0.924106,-1767.906548,508.853366,1359.053182,22744.7,4551.0,81.1
